chembl_id,name,smiles,ic50_nM,pchembl_value,mw,alogp,hba,hbd,psa,rtb,ro5_violations
CHEMBL5073622,TAK-020,C=CC(=O)N1CC[C@H](Oc2nc(-c3n[nH]c(=O)[nH]3)cc3ccccc23)C1,5.012e-09,,351.37,1.48,5,2,103.97,4,0
CHEMBL3353410,OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.002,,499.62,4.51,8,2,87.55,10,0
CHEMBL63786,,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,0.003,,350.22,5.29,3,1,37.81,2,1
CHEMBL35820,,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,0.006,,388.26,4.93,5,1,56.27,6,0
CHEMBL53711,,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.006,,344.22,3.60,5,1,53.94,3,0
CHEMBL66031,,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,0.008,,340.18,4.01,4,2,66.49,2,0
CHEMBL5270693,,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,0.008,,562.67,6.13,8,2,95.61,8,2
CHEMBL53753,,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.008,,330.19,3.57,5,2,62.73,3,0
CHEMBL5633067,,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,0.009,,467.48,3.02,10,1,118.10,12,0
CHEMBL4650319,MOBOCERTINIB,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.01,11.00,585.71,5.08,10,2,113.85,12,2
CHEMBL176582,,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01,11.00,354.21,4.02,5,1,55.63,2,0
CHEMBL1173655,AFATINIB,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.01,,485.95,4.39,7,2,88.61,8,0
CHEMBL5874605,,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,0.015,,506.37,5.25,7,1,79.82,4,2
CHEMBL5915655,,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,0.015,,445.88,4.06,7,1,79.82,6,0
CHEMBL5790648,,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,0.016,10.80,443.87,3.82,7,1,79.82,4,0
CHEMBL5746224,,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,0.017,10.77,441.89,4.59,6,1,70.59,3,0
CHEMBL180022,NERATINIB,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.02,10.70,557.05,5.93,8,2,112.40,11,2
CHEMBL4537790,,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,0.02,10.70,542.69,3.77,9,1,91.12,2,1
CHEMBL5997498,,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,0.02,10.70,471.92,4.60,7,1,79.82,4,0
CHEMBL6054692,,CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,0.021,10.68,471.92,4.60,7,1,79.82,6,0
CHEMBL5968640,,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,0.022,10.66,457.89,4.21,7,1,79.82,5,0
CHEMBL29197,,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.025,10.60,360.21,4.15,5,1,56.27,4,0
CHEMBL174426,,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.025,10.60,354.21,4.02,5,1,55.63,2,0
CHEMBL5288888,,C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,0.027,10.57,512.97,4.89,7,1,85.81,7,1
CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.029,10.54,393.44,3.41,7,1,74.73,10,0
CHEMBL1243316,,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,0.03,10.52,477.93,4.76,6,3,99.07,9,0
CHEMBL3613702,,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,0.037,10.43,377.21,4.94,4,2,66.91,4,0
CHEMBL363815,,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.037,10.43,377.21,4.94,4,2,66.91,4,0
CHEMBL5993268,,COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,0.038,10.42,432.84,4.15,7,1,85.81,6,0
CHEMBL31965,CANERTINIB,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0.04,10.40,485.95,4.39,7,2,88.61,9,0
CHEMBL1229592,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,0.04,10.40,494.98,4.55,8,2,91.85,8,0
CHEMBL4521381,,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,0.043,10.37,533.63,5.76,7,3,103.52,10,2
CHEMBL5432965,,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(SC)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.05,10.30,661.82,5.41,12,2,111.64,10,3
CHEMBL5271803,,CN(C)CCn1cccc1/C=N/NC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.05,10.30,581.05,4.85,9,3,117.93,10,1
CHEMBL5193123,,COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.05,10.30,714.65,5.67,11,2,104.32,8,3
CHEMBL6053582,,COc1cc(N2CCC3(CC2)CN(CCN(C)C)C3)c(C)cc1Nc1ncc(Cl)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,0.051,,662.22,6.80,9,2,85.86,10,2
CHEMBL5811442,,COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,0.052,10.28,649.57,6.98,8,2,82.62,7,2
CHEMBL5282641,,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,0.053,10.28,547.41,5.54,7,1,85.81,7,2
CHEMBL5284924,,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,0.053,10.28,548.65,5.36,9,1,84.75,7,2
CHEMBL5434495,,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,0.06,10.22,695.60,5.78,11,2,117.63,10,3
CHEMBL5436031,,COc1cc(N2CCC(N(C)CCN(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.06,10.22,696.63,5.70,11,2,111.64,11,3
CHEMBL5186680,,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.06,10.22,694.62,5.45,11,2,111.64,9,3
CHEMBL554,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,0.06,10.22,581.07,6.14,8,2,106.35,11,2
CHEMBL5393923,,COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.06,10.22,695.60,5.52,11,3,128.63,9,3
CHEMBL3545154,POZIOTINIB,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,0.061,10.21,491.35,5.38,6,1,76.58,6,1
CHEMBL5195904,,CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.07,10.15,701.60,5.75,11,2,110.31,10,3
CHEMBL4103912,,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,0.07,10.15,517.61,4.65,8,2,87.55,10,1
CHEMBL4756368,,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)ccc1OCCO,0.07,10.15,545.60,5.26,8,4,129.98,10,2
CHEMBL5422588,,COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.07,10.15,722.63,5.37,11,2,128.71,8,3
CHEMBL275762,,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.07,10.15,399.64,5.00,4,2,66.91,4,0
CHEMBL5399653,,COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.07,10.15,709.63,5.91,11,3,128.63,9,3
CHEMBL5740720,,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.072,,424.48,4.05,5,3,88.27,7,0
CHEMBL327307,,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,0.072,10.14,439.11,4.92,5,1,56.27,4,0
CHEMBL5827952,,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1)C(=O)NCC2,0.072,,442.47,4.19,5,3,88.27,7,0
CHEMBL6042815,,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1)C(=O)NCC2,0.072,,414.41,3.41,5,3,88.27,7,0
CHEMBL5883280,,CC(C)(O)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.072,,410.45,3.40,5,4,99.27,6,0
CHEMBL328106,,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,0.07244,10.14,360.21,4.15,5,1,56.27,4,0
CHEMBL5957231,,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.076,10.12,608.62,4.32,7,3,108.06,7,1
CHEMBL5952854,,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.079,10.10,593.61,4.18,7,2,96.03,6,1
CHEMBL5180388,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.08,10.10,708.65,5.70,11,2,111.64,10,3
CHEMBL4787483,,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,0.08,10.10,496.96,6.12,6,3,104.82,8,1
CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.08,,464.83,5.55,4,3,92.35,5,1
CHEMBL285063,,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.08,10.10,369.22,4.26,4,2,66.91,4,0
CHEMBL5596876,,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2N(C)S(C)(=O)=O)n1,0.08,10.10,615.20,4.24,10,2,106.17,9,1
CHEMBL5188940,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.08,10.10,714.65,5.53,11,2,104.32,10,3
CHEMBL5972309,,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.084,10.08,594.59,3.93,7,3,108.06,6,1
CHEMBL5962943,,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,0.086,10.07,475.32,4.03,5,3,88.27,7,0
CHEMBL53428,,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.08913,10.05,344.22,3.60,5,1,53.94,3,0
CHEMBL5188373,,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.09,10.05,701.60,5.61,11,2,110.31,10,3
CHEMBL5418539,,COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.09,10.05,707.61,5.78,11,2,117.63,8,3
CHEMBL4757145,,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,0.09,10.05,584.08,6.06,8,3,117.29,12,2
